title,summary,start_at,end_at,venue_name,url,tags,source
仙台市天文台 天体観望会,毎週土曜日19:30〜21:30開催の天体観望会。41cm大型反射望遠鏡で惑星や星雲を観察できます。天文解説員が丁寧に説明。雨天・曇天時は中止の場合あり。別途観覧料あり。,2026-06-06,2026-07-31,仙台市天文台（青葉区）,https://www.sendai-astro.jp/event/,体験,仙台市天文台
宮城県図書館 こどものおはなし会,毎週土曜日開催のボランティアによる絵本・紙芝居・手遊びの読み聞かせ会。0歳から参加OK・申込不要・無料。中学生までの子どもと保護者を対象としています。,2026-06-06,2026-07-31,宮城県図書館（泉区）,https://www.library.pref.miyagi.jp/events/schedule/index.html,無料,宮城県図書館
笹かまぼこ手作り体験教室,すり身をこねて成形し炭火で約10分焼く仙台ならではの食育体験。所要約45分。小学生以上1300円（税込）。1日5回開催（10:30〜・12:00〜・13:30〜・15:00〜・16:30〜）。完全予約制。,2026-06-07,2026-12-31,鐘崎総本店 笹かま館（若林区）,https://www.kanezaki.co.jp/shop/belle_factory/sasakama_tezukuri.html,体験,鐘崎笹かま館
学都「仙台・宮城」サイエンス・デイ2026,東北大学など約200団体が参加する体験型科学の祭典。100以上の科学実験・工作ブースに自由参加OK。入場無料で子どもから大人まで楽しめる一大イベント。来場見込み約1万人。,2026-07-26,2026-07-26,東北大学川内北キャンパス（青葉区）,https://www.science-day.com/,無料,サイエンス・デイ
親子イベント 「レゴブロックで学ぶギアの仕組み」,対象：小学生(保護者同伴)。参加費：無　料。場所：2階。,2026-07-23,2026-08-22,仙台市科学館（泉区）,https://www.kagakukan.sendai-c.ed.jp/event_/15155/,体験,仙台市科学館
embotプログラミング教室,対象：小学校4年生以上 (保護者同伴必須) ※安全管理のため，参加者ならびに同伴の保護者(1名)以外の方は，会場に立ち入りできません。(未就学児も不可)。参加費：無　料。場所：2階。,2026-07-30,2026-07-30,仙台市科学館（泉区）,https://www.kagakukan.sendai-c.ed.jp/event_/15294/,体験,仙台市科学館
化石鑑定会,対象：どなたでも。参加費：無　料。場所：2階。申込：不　要。,2026-08-11,2026-08-11,仙台市科学館（泉区）,https://www.kagakukan.sendai-c.ed.jp/event_/3948/,体験,仙台市科学館
このムシ何ですか？相談会,対象：小学生以上。参加費：無料。場所：2階。申込：不　要。,2026-08-01,2026-08-01,仙台市科学館（泉区）,https://www.kagakukan.sendai-c.ed.jp/event_/7844/,無料,仙台市科学館
特別展関連イベント：講演会「「MMX 火星衛星探査計画」と「月に立つ。その先へ、」～２つの作品から紐解く最新の宇宙探査ミッション～」,対象：どなたでも。参加費：常設展の入館料が必要。,2026-07-26,2026-07-26,仙台市科学館（泉区）,https://www.kagakukan.sendai-c.ed.jp/event_/15228/,無料,仙台市科学館
はじめての石と鉱物教室②,対象：小中学生（小学生は保護者同伴）。参加費：無料。場所：2階。,2026-08-02,2026-08-02,仙台市科学館（泉区）,https://www.kagakukan.sendai-c.ed.jp/event_/14708/,無料,仙台市科学館
トミカ・プラレールわくわくパーク,開催：2026/07/18(土) 〜 2026/07/19(日)。場所：4階 KAMISUGI ONE PARK屋内。トミカ・プラレールわくわくパーク開催！ 「トミカハンティング！」や「プラレールあみだくじ」に...。,2026-07-18,2026-07-19,イオンモール仙台上杉（青葉区）,https://sendaikamisugi.aeonmall.com/news/detail/1123?t=event_news,無料,イオンモール仙台上杉
パウ・パトロール　パウフェクトショー,開催：2026/07/20(月)。場所：4階 KAMISUGI ONE PARK。パウ・パトロールと一緒にクイズやダンスであそべるバラエティーショー！【観覧無料】【参加方法】当...。,2026-07-20,2026-07-20,イオンモール仙台上杉（青葉区）,https://sendaikamisugi.aeonmall.com/news/detail/1166?t=event_news,無料,イオンモール仙台上杉
水鉄砲射的＆サバイバルバトル,開催：2026/07/25(土) 〜 2026/07/26(日)。場所：4階 KAMISUGI ONE PARK。★水鉄砲で撃ち落とせ！射的ゲーム 各日先着250名さまこよりで吊るされてる水ヨーヨーを水鉄砲で...。,2026-07-25,2026-07-26,イオンモール仙台上杉（青葉区）,https://sendaikamisugi.aeonmall.com/news/detail/1355?t=event_news,無料,イオンモール仙台上杉
縄文体験「縄文土器」,7月18日（土）13時開始。材料費：400円（土器(小)）。予約推奨（電話 022-307-5665）。,2026-07-18,2026-07-18,仙台市縄文の森広場（宮城野区）,https://www.sendai-jomon.jp/,体験,縄文の森広場
縄文体験「土笛」,7月19日（日）13時開始。材料費：200円。予約推奨（電話 022-307-5665）。,2026-07-19,2026-07-19,仙台市縄文の森広場（宮城野区）,https://www.sendai-jomon.jp/,体験,縄文の森広場
縄文体験「石器」,7月24日（金）13時開始。材料費：200円。予約推奨（電話 022-307-5665）。,2026-07-24,2026-07-24,仙台市縄文の森広場（宮城野区）,https://www.sendai-jomon.jp/,体験,縄文の森広場
